replications;[10, 10, 10]
size;[3680, 8000, 10]
block;
start;16.388.081.186.476.400
creation;0.03377938270568848
create;16.388.081.186.814.300
newblock;1.638.808.118.700.450
newblock;1.638.808.118.709.150
newblock;1.638.808.118.720.350
newblock;1.638.808.118.736.420
newblock;1.638.808.118.751.650
newblock;1.638.808.118.766.560
newblock;16.388.081.187.793.200
newblock;1.638.808.118.794.470
newblock;1.638.808.118.807.050
newblock;1.638.808.118.819.720
newblock;16.388.081.188.348.900
newblock;16.388.081.188.457.900
newblock;1.638.808.118.859.380
newblock;1.638.808.118.871.530
newblock;16.388.081.188.822.600
newblock;1.638.808.118.894.650
newblock;1.638.808.118.906.060
newblock;1.638.808.118.919.430
newblock;1.638.808.118.933.800
newblock;16.388.081.189.483.500
newblock;16.388.081.189.674.500
newblock;1.638.808.118.984.410
newblock;16.388.081.190.026.600
newblock;1.638.808.119.015.600
newblock;1.638.808.119.029.980
newblock;163.880.811.904.256
newblock;1.638.808.119.056.320
newblock;16.388.081.190.702.700
newblock;1.638.808.119.083.020
newblock;1.638.808.119.095.650
newblock;1.638.808.119.109.570
newblock;1.638.808.119.123.990
newblock;16.388.081.191.382.600
newblock;163.880.811.915.425
newblock;16.388.081.191.726.300
newblock;16.388.081.191.897.800
newblock;1.638.808.119.205.990
newblock;1.638.808.119.224.150
newblock;1.638.808.119.241.150
newblock;1.638.808.119.260.860
newblock;1.638.808.119.283.440
newblock;16.388.081.193.053.500
newblock;163.880.811.932.781
newblock;1.638.808.119.345.600
newblock;1.638.808.119.367.040
newblock;1.638.808.119.386.200
newblock;16.388.081.194.036.300
newblock;1.638.808.119.423.340
newblock;1.638.808.119.441.380
newblock;1.638.808.119.461.060
newblock;1.638.808.119.481.460
newblock;163.880.811.949.892
newblock;1.638.808.119.514.270
newblock;16.388.081.195.273.200
newblock;16.388.081.195.406.900
newblock;1.638.808.119.558.550
newblock;1.638.808.119.580.070
newblock;163.880.811.960.414
newblock;1.638.808.119.625.610
newblock;1.638.808.119.647.530
newblock;16.388.081.196.708.700
newblock;16.388.081.196.937.800
newblock;1.638.808.119.716.310
newblock;16.388.081.197.374.200
newblock;1.638.808.119.758.980
newblock;1.638.808.119.776.860
newblock;1.638.808.119.799.150
newblock;16.388.081.198.191.900
newblock;1.638.808.119.841.020
newblock;1.638.808.119.863.460
newblock;1.638.808.119.886.520
newblock;1.638.808.119.907.690
newblock;16.388.081.199.304.200
newblock;1.638.808.119.951.880
newblock;163.880.811.997.002
newblock;16.388.081.199.869.700
newblock;1.638.808.120.011.180
newblock;1.638.808.120.031.730
newblock;1.638.808.120.052.140
newblock;1.638.808.120.074.890
newblock;1.638.808.120.095.500
newblock;16.388.081.201.183.100
newblock;16.388.081.201.408.800
newblock;1.638.808.120.165.800
newblock;163.880.812.018.643
newblock;1.638.808.120.206.230
newblock;1.638.808.120.230.650
newblock;163.880.812.025.361
newblock;16.388.081.202.819.000
newblock;1.638.808.120.304.670
newblock;1.638.808.120.327.430
newblock;16.388.081.203.507.100
newblock;16.388.081.203.730.000
newblock;1.638.808.120.390.910
newblock;1.638.808.120.406.480
newblock;16.388.081.204.260.900
newblock;1.638.808.120.444.310
newblock;1.638.808.120.467.080
newblock;1.638.808.120.489.670
newblock;16.388.081.205.100.400
newblock;1.638.808.120.532.580
newblock;16.388.081.205.546.700
newblock;1.638.808.120.576.780
newblock;1.638.808.120.593.880
newblock;1.638.808.120.608.360
newblock;1.638.808.120.626.150
newblock;163.880.812.064.582
newblock;1.638.808.120.668.590
newblock;1.638.808.120.690.570
newblock;1.638.808.120.711.950
newblock;163.880.812.073.662
newblock;1.638.808.120.768.600
newblock;1.638.808.120.805.420
newblock;1.638.808.120.825.860
newblock;1.638.808.120.845.330
newblock;1.638.808.120.875.550
newblock;16.388.081.209.013.400
newblock;1.638.808.120.924.890
newblock;1.638.808.120.943.960
newblock;163.880.812.097.172
newblock;1.638.808.120.995.960
newblock;1.638.808.121.014.300
newblock;1.638.808.121.033.240
newblock;163.880.812.104.949
newblock;1.638.808.121.075.970
newblock;16.388.081.211.030.600
newblock;1.638.808.121.126.000
newblock;1.638.808.121.148.390
newblock;16.388.081.211.726.400
newblock;16.388.081.211.989.500
newblock;16.388.081.212.212.300
newblock;1.638.808.121.240.250
newblock;1.638.808.121.258.300
newblock;163.880.812.128.414
newblock;1.638.808.121.307.450
newblock;1.638.808.121.334.700
newblock;1.638.808.121.359.080
newblock;1.638.808.121.383.530
newblock;1.638.808.121.409.260
newblock;1.638.808.121.435.090
newblock;16.388.081.214.539.900
newblock;16.388.081.214.744.600
newblock;16.388.081.215.018.900
newblock;1.638.808.121.526.890
newblock;1.638.808.121.547.800
newblock;163.880.812.157.434
newblock;16.388.081.216.029.200
newblock;1.638.808.121.623.750
newblock;1.638.808.121.642.220
newblock;1.638.808.121.661.310
newblock;1.638.808.121.680.360
newblock;1.638.808.121.702.140
newblock;1.638.808.121.726.350
newblock;1.638.808.121.752.740
newblock;1.638.808.121.778.570
newblock;16.388.081.218.035.900
newblock;1.638.808.121.829.530
newblock;1.638.808.121.854.550
newblock;1.638.808.121.881.560
