replications;[2, 2, 180]
size;[736, 1600, 180]
block size;[128, 128, 128]
start;1641856757.579506
creation;0.005145072937011719
create;1641856757.5846689
0;0.04182624816894531
1;0.06247210502624512
2;0.06205320358276367
3;0.05818986892700195
4;0.06148195266723633
5;0.05691695213317871
6;0.057494163513183594
7;0.062401771545410156
8;0.061553001403808594
9;0.05924201011657715
10;0.05439901351928711
11;0.05955791473388672
12;0.06611084938049316
13;0.06338095664978027
14;0.0550079345703125
15;0.06018519401550293
16;0.06525278091430664
17;0.06379175186157227
18;0.056417226791381836
19;0.06390976905822754
20;0.0661919116973877
21;0.062120914459228516
22;0.057180166244506836
23;0.06613302230834961
24;0.06626605987548828
25;0.06123614311218262
26;0.05524086952209473
27;0.06182503700256348
28;0.06373810768127441
29;0.06303095817565918
30;0.05578494071960449
31;0.06091427803039551
32;0.06542015075683594
33;0.06505799293518066
34;0.05466294288635254
35;0.06975579261779785
36;0.0684812068939209
37;0.06607794761657715
38;0.05497097969055176
39;0.06191825866699219
40;0.06517386436462402
41;0.06101703643798828
42;0.05575919151306152
43;0.060218095779418945
44;0.06580209732055664
45;0.06457901000976562
46;0.05706501007080078
47;0.06158614158630371
48;0.06570601463317871
49;0.06156778335571289
50;0.05636096000671387
51;0.0664069652557373
52;0.06848287582397461
53;0.06796813011169434
54;0.059908151626586914
55;0.06641101837158203
56;0.06766200065612793
57;0.06010603904724121
58;0.055503129959106445
59;0.06062793731689453
60;0.0638279914855957
61;0.0632319450378418
62;0.05610799789428711
63;0.060588836669921875
64;0.06429696083068848
65;0.06506919860839844
66;0.05772233009338379
67;0.07245492935180664
68;0.06427526473999023
69;0.05757308006286621
70;0.055346012115478516
71;0.05778908729553223
72;0.06345295906066895
73;0.06296706199645996
74;0.05619406700134277
75;0.06091809272766113
76;0.06551194190979004
77;0.06310725212097168
78;0.056127071380615234
79;0.06135988235473633
80;0.06585288047790527
81;0.06672501564025879
82;0.05814194679260254
83;0.06057024002075195
84;0.07155084609985352
85;0.0590977668762207
86;0.058073997497558594
87;0.06399989128112793
88;0.06534886360168457
89;0.05949902534484863
90;0.05805206298828125
91;0.060916900634765625
92;0.06457757949829102
93;0.061760902404785156
94;0.054666996002197266
95;0.05971503257751465
96;0.0643148422241211
97;0.0630788803100586
98;0.058754920959472656
99;0.06688499450683594
100;0.06769585609436035
101;0.06345582008361816
102;0.05710411071777344
103;0.06598305702209473
104;0.06912779808044434
105;0.06766009330749512
106;0.058508872985839844
107;0.06530165672302246
108;0.0684208869934082
109;0.06070399284362793
110;0.05651283264160156
111;0.06276583671569824
112;0.06844282150268555
113;0.06624269485473633
114;0.060135841369628906
115;0.06864690780639648
116;0.0653390884399414
117;0.06567025184631348
118;0.05969810485839844
119;0.06498503684997559
120;0.06817913055419922
121;0.06403112411499023
122;0.05625319480895996
123;0.06105995178222656
124;0.0667569637298584
125;0.0661768913269043
126;0.06276297569274902
127;0.07694005966186523
128;0.039466142654418945
129;0.05565524101257324
130;0.051254987716674805
131;0.0556187629699707
132;0.07176876068115234
133;0.06505584716796875
134;0.059237003326416016
135;0.05661201477050781
136;0.060013771057128906
137;0.06418776512145996
138;0.0653986930847168
139;0.05947709083557129
140;0.0617520809173584
141;0.06417989730834961
142;0.06074690818786621
143;0.0563960075378418
144;0.0612339973449707
145;0.0641181468963623
146;0.06293106079101562
147;0.059587955474853516
148;0.061799049377441406
149;0.06833195686340332
150;0.06386590003967285
151;0.05591297149658203
152;0.06031298637390137
153;0.06449294090270996
154;0.061559200286865234
155;0.05607914924621582
156;0.06206011772155762
157;0.06569504737854004
158;0.06745600700378418
159;0.05698895454406738
160;0.06172800064086914
161;0.06587386131286621
162;0.06568098068237305
163;0.0630340576171875
164;0.06332802772521973
165;0.06421494483947754
166;0.06071138381958008
167;0.05725407600402832
168;0.06426692008972168
169;0.06992673873901367
170;0.06267285346984863
171;0.05524396896362305
172;0.06254887580871582
173;0.06511592864990234
174;0.06943416595458984
175;0.06035113334655762
176;0.06353592872619629
177;0.06643891334533691
178;0.05748605728149414
179;0.05563688278198242
180;0.04808807373046875
181;0.06459808349609375
182;0.06350588798522949
183;0.05945301055908203
184;0.06228923797607422
185;0.06519603729248047
186;0.05959296226501465
187;0.05416226387023926
188;0.06071805953979492
189;0.06476688385009766
190;0.061917781829833984
191;0.057042837142944336
192;0.06115126609802246
193;0.06429910659790039
194;0.06224203109741211
195;0.05665111541748047
196;0.06746292114257812
197;0.06458687782287598
198;0.05929279327392578
199;0.05642104148864746
200;0.0616908073425293
201;0.06446003913879395
202;0.06341695785522461
203;0.05905890464782715
204;0.06424593925476074
205;0.06490588188171387
206;0.06006312370300293
207;0.05712699890136719
208;0.06429696083068848
209;0.06427216529846191
210;0.06280016899108887
211;0.05564999580383301
212;0.060063838958740234
213;0.06780004501342773
214;0.06542110443115234
215;0.05697894096374512
216;0.06401586532592773
217;0.06434893608093262
218;0.0640099048614502
219;0.06414008140563965
220;0.07981491088867188
221;0.0707557201385498
222;0.06986498832702637
223;0.06221485137939453
224;0.06706786155700684
225;0.06595993041992188
226;0.062082767486572266
227;0.062169790267944336
228;0.0626988410949707
229;0.0631568431854248
230;0.06311416625976562
231;0.05693221092224121
232;0.06292486190795898
233;0.06387686729431152
234;0.06281709671020508
235;0.05463290214538574
236;0.06218409538269043
237;0.06694388389587402
238;0.059953927993774414
239;0.05790090560913086
240;0.06127786636352539
241;0.06410980224609375
242;0.062393903732299805
243;0.058107852935791016
244;0.060790061950683594
245;0.06374812126159668
246;0.0605466365814209
247;0.05617690086364746
248;0.06106901168823242
249;0.06413388252258301
250;0.0660560131072998
251;0.06506800651550293
252;0.06970500946044922
253;0.07140588760375977
254;0.06136512756347656
255;0.05645012855529785
256;0.0644528865814209
257;0.06518292427062988
258;0.05890011787414551
259;0.06350994110107422
260;0.06140327453613281
261;0.06630802154541016
262;0.06047391891479492
263;0.054715871810913086
264;0.06202411651611328
265;0.06589603424072266
266;0.06222414970397949
267;0.05548858642578125
268;0.06069588661193848
269;0.06380200386047363
270;0.061843156814575195
271;0.056936025619506836
272;0.06238102912902832
273;0.06512904167175293
274;0.06251406669616699
275;0.0634310245513916
276;0.06353211402893066
277;0.06468081474304199
278;0.059877872467041016
279;0.05692267417907715
280;0.06313395500183105
281;0.06626272201538086
282;0.06232929229736328
283;0.05568218231201172
284;0.06058526039123535
285;0.06428313255310059
286;0.06381607055664062
287;0.05829191207885742
288;0.061553001403808594
289;0.06392431259155273
290;0.062345027923583984
291;0.05513501167297363
292;0.06775903701782227
293;0.06505513191223145
294;0.06026005744934082
295;0.05591106414794922
296;0.06145882606506348
297;0.06439876556396484
298;0.06221890449523926
299;0.055381059646606445
300;0.061135053634643555
301;0.06457805633544922
302;0.06149888038635254
303;0.05562782287597656
304;0.06146407127380371
305;0.06433296203613281
306;0.06292295455932617
307;0.05576491355895996
308;0.045281171798706055
309;0.0687870979309082
310;0.06486296653747559
311;0.05632209777832031
312;0.06363630294799805
313;0.06611824035644531
314;0.06110095977783203
315;0.05779290199279785
316;0.061006784439086914
317;0.0698707103729248
318;0.06618809700012207
319;0.05830502510070801
320;0.06259775161743164
321;0.06479001045227051
322;0.059916019439697266
323;0.0594639778137207
324;0.06973385810852051
325;0.06837606430053711
326;0.06412696838378906
327;0.0569920539855957
328;0.06320500373840332
329;0.06647896766662598
330;0.06058692932128906
331;0.05626535415649414
332;0.05990195274353027
333;0.06333780288696289
334;0.06156015396118164
335;0.05487704277038574
336;0.062084197998046875
337;0.06542110443115234
338;0.0630037784576416
339;0.05732297897338867
340;0.06627893447875977
