replications;[20, 20, 20]
size;[7360, 16000, 20]
block size:[736, 2400, 1]
start;1638899901.754334
creation;0.007421016693115234
create;1638899901.761764
0-newblock;0.012496232986450195
1-newblock;0.010113000869750977
2-newblock;0.008269071578979492
3-newblock;0.008768081665039062
4-newblock;0.009238719940185547
5-newblock;0.00857090950012207
6-newblock;0.007501125335693359
7-newblock;0.007752895355224609
8-newblock;0.00911402702331543
9-newblock;0.007925987243652344
10-newblock;0.01130819320678711
11-newblock;0.010105133056640625
12-newblock;0.008012056350708008
13-newblock;0.008364677429199219
14-newblock;0.008695840835571289
15-newblock;0.010703802108764648
16-newblock;0.009951114654541016
17-newblock;0.010903120040893555
18-newblock;0.011152029037475586
19-newblock;0.009201288223266602
20-newblock;0.009877920150756836
21-newblock;0.009896039962768555
22-newblock;0.009279012680053711
23-newblock;0.009176015853881836
24-newblock;0.008786201477050781
25-newblock;0.008402824401855469
26-newblock;0.009152650833129883
27-newblock;0.008420228958129883
28-newblock;0.008788824081420898
29-newblock;0.009737968444824219
30-newblock;0.00914907455444336
31-newblock;0.008511066436767578
32-newblock;0.010307073593139648
33-newblock;0.009710073471069336
34-newblock;0.010002374649047852
35-newblock;0.009205102920532227
36-newblock;0.009325981140136719
37-newblock;0.01106882095336914
38-newblock;0.01181793212890625
39-newblock;0.01170206069946289
40-newblock;0.011877059936523438
41-newblock;0.013367891311645508
42-newblock;0.01182103157043457
43-newblock;0.011520147323608398
44-newblock;0.013356924057006836
45-newblock;0.012281179428100586
46-newblock;0.011605978012084961
47-newblock;0.013907194137573242
48-newblock;0.012333154678344727
49-newblock;0.010532140731811523
50-newblock;0.01148533821105957
51-newblock;0.0107879638671875
52-newblock;0.010086774826049805
53-newblock;0.009612798690795898
54-newblock;0.01010894775390625
55-newblock;0.012273788452148438
56-newblock;0.012796878814697266
57-newblock;0.012891054153442383
58-newblock;0.013055086135864258
59-newblock;0.011745929718017578
60-newblock;0.014294147491455078
61-newblock;0.013772249221801758
62-newblock;0.01507425308227539
63-newblock;0.01456594467163086
64-newblock;0.015297174453735352
65-newblock;0.013663053512573242
66-newblock;0.011844873428344727
67-newblock;0.012284040451049805
68-newblock;0.01122903823852539
69-newblock;0.010165929794311523
70-newblock;0.009861946105957031
71-newblock;0.012974023818969727
72-newblock;0.014383792877197266
73-newblock;0.014462947845458984
74-newblock;0.020461082458496094
75-newblock;0.014221906661987305
76-newblock;0.014059066772460938
77-newblock;0.01408839225769043
78-newblock;0.01491093635559082
79-newblock;0.013445138931274414
80-newblock;0.013382911682128906
81-newblock;0.014544010162353516
82-newblock;0.010989904403686523
83-newblock;0.012652158737182617
84-newblock;0.012272119522094727
85-newblock;0.011171102523803711
86-newblock;0.014457941055297852
87-newblock;0.01466679573059082
88-newblock;0.014956951141357422
89-newblock;0.013911724090576172
90-newblock;0.01584792137145996
91-newblock;0.01913285255432129
92-newblock;0.015127182006835938
93-newblock;0.014966726303100586
94-newblock;0.015988826751708984
95-newblock;0.015874624252319336
96-newblock;0.011570930480957031
97-newblock;0.012593984603881836
98-newblock;0.012447118759155273
99-newblock;0.012468814849853516
100-newblock;0.013859748840332031
101-newblock;0.015659809112548828
102-newblock;0.015336036682128906
103-newblock;0.015630006790161133
104-newblock;0.015316009521484375
105-newblock;0.015257835388183594
106-newblock;0.016976118087768555
107-newblock;0.016317129135131836
108-newblock;0.023128986358642578
109-newblock;0.014344930648803711
110-newblock;0.01275324821472168
111-newblock;0.012214899063110352
112-newblock;0.011655330657958984
113-newblock;0.012373924255371094
114-newblock;0.015411853790283203
115-newblock;0.01704096794128418
116-newblock;0.015812158584594727
117-newblock;0.016490936279296875
118-newblock;0.01603984832763672
