replications;[3, 3, 3]
size;[1104, 2400, 3]
block size:[368, 800, 1]
start;1638818388.067894
creation;0.004585981369018555
create;1638818388.072494
0-newblock;0.012045860290527344
0-newblock;0.011352062225341797
0-newblock;0.009460926055908203
0-newblock;0.010675907135009766
0-newblock;0.012571096420288086
0-newblock;0.010618925094604492
0-newblock;0.011406183242797852
0-newblock;0.011332035064697266
0-newblock;0.00992274284362793
1-newblock;0.012054920196533203
1-newblock;0.01214909553527832
1-newblock;0.010425806045532227
2-newblock;0.011485099792480469
3-newblock;0.010803937911987305
4-newblock;0.010359048843383789
3-newblock;0.012667179107666016
5-newblock;0.012963056564331055
7-newblock;0.012354135513305664
2-newblock;0.019130229949951172
2-newblock;0.01627206802368164
2-newblock;0.021471023559570312
4-newblock;0.01654791831970215
6-newblock;0.01429295539855957
8-newblock;0.012059211730957031
6-newblock;0.015194892883300781
10-newblock;0.01106572151184082
14-newblock;0.011072874069213867
done;1638818388.4148328
size;3616
